date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:57	219/219	U-----	200	untouched ('OK')	text/plain	etag:W/%2263fdf678-154%22	https://www.classcentral.com/robots.txt		(from )
22:10:58	665326/665326	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2028%20Feb%202023%2021:10:57%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/classcentral/www.classcentral.com/index.html	(from )
22:10:58	2206/2206	U-----	200	untouched ('')	image/png	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/My%20Web%20Sites/classcentral/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
22:10:58	975/975	U-----	200	untouched ('')	image/png	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/My%20Web%20Sites/classcentral/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
22:10:58	9463/9463	U-----	200	untouched ('')	image/png	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
22:10:58	731/731	U-----	200	untouched ('')	image/png	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/My%20Web%20Sites/classcentral/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
22:10:59	673/673	U-----	200	untouched ('')	application/octet-stream	etag:%2263fdf678-2a1%22	https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/classcentral/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
22:10:59	913/913	U-----	200	untouched ('')	text/xml	etag:W/%2263fdf678-391%22	https://www.classcentral.com/opensearch.xml	C:/My%20Web%20Sites/classcentral/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
22:10:59	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
22:10:59	1960/1960	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2263fdf678-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/classcentral/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
22:10:59	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
22:11:00	1488/1488	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
22:11:00	5588/5588	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
22:11:00	821839/821839	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Feb%202023%2021:11:00%20GMT	https://www.classcentral.com/subject/maths	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/maths.html	(from https://www.classcentral.com/)
22:11:00	12520/12520	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
22:11:00	15280/15280	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
22:11:01	6868/6868	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
22:11:01	840508/840508	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Feb%202023%2021:11:01%20GMT	https://www.classcentral.com/subject/business	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/business.html	(from https://www.classcentral.com/)
22:11:01	9684/9684	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
22:11:02	7376/7376	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
22:11:02	8444/8444	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
22:11:02	5804/5804	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
22:11:03	826446/826446	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Feb%202023%2021:11:02%20GMT	https://www.classcentral.com/subject/humanities	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/humanities.html	(from https://www.classcentral.com/)
22:11:03	14960/14960	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
22:11:03	6816/6816	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
22:11:03	16112/16112	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
22:11:03	9696/9696	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
22:11:03	7244/7244	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
